travelCode,userCode,name,place,days,price,total,date,stay_year,stay_month,stay_day,stay_weekday,stay_cost_per_day
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,2019-09-26,2019,9,26,Thursday,313.02
2,0,Hotel K,Salvador (BH),2,263.41,526.82,2019-10-10,2019,10,10,Thursday,263.41
7,0,Hotel K,Salvador (BH),3,263.41,790.23,2019-11-14,2019,11,14,Thursday,263.41
11,0,Hotel K,Salvador (BH),4,263.41,1053.64,2019-12-12,2019,12,12,Thursday,263.41
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02,2019-12-26,2019,12,26,Thursday,313.02
15,0,Hotel BD,Natal (RN),2,242.88,485.76,2020-01-09,2020,1,9,Thursday,242.88
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-02-27,2020,2,27,Thursday,208.04
29,0,Hotel AU,Recife (PE),4,312.83,1251.32,2020-04-16,2020,4,16,Thursday,312.83
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-05-07,2020,5,7,Thursday,139.1
33,0,Hotel K,Salvador (BH),4,263.41,1053.64,2020-05-14,2020,5,14,Thursday,263.41
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-05-21,2020,5,21,Thursday,139.1
38,0,Hotel BD,Natal (RN),2,242.88,485.76,2020-06-18,2020,6,18,Thursday,242.88
39,0,Hotel K,Salvador (BH),1,263.41,263.41,2020-06-25,2020,6,25,Thursday,263.41
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-16,2020,7,16,Thursday,60.39
43,0,Hotel K,Salvador (BH),4,263.41,1053.64,2020-07-23,2020,7,23,Thursday,263.41
45,0,Hotel BD,Natal (RN),1,242.88,242.88,2020-08-06,2020,8,6,Thursday,242.88
51,0,Hotel K,Salvador (BH),1,263.41,263.41,2020-09-17,2020,9,17,Thursday,263.41
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-10-01,2020,10,1,Thursday,60.39
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-10-08,2020,10,8,Thursday,139.1
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-10-15,2020,10,15,Thursday,313.02
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-10-29,2020,10,29,Thursday,208.04
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-19,2020,11,19,Thursday,208.04
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,2020,12,24,Thursday,165.99
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48,2021-02-18,2021,2,18,Thursday,247.62
81,0,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-15,2021,4,15,Thursday,242.88
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-05-20,2021,5,20,Thursday,139.1
87,0,Hotel AU,Recife (PE),1,312.83,312.83,2021-05-27,2021,5,27,Thursday,312.83
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2019-10-03,2019,10,3,Thursday,139.1
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62,2019-10-17,2019,10,17,Thursday,247.62
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2019-10-31,2019,10,31,Thursday,165.99
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,2019-11-07,2019,11,7,Thursday,60.39
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16,2019-12-05,2019,12,5,Thursday,208.04
108,2,Hotel AU,Recife (PE),3,312.83,938.49,2019-12-26,2019,12,26,Thursday,312.83
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-02,2020,1,2,Thursday,60.39
110,2,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-09,2020,1,9,Thursday,263.41
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-01-23,2020,1,23,Thursday,139.1
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-02-20,2020,2,20,Thursday,60.39
117,2,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-27,2020,2,27,Thursday,312.83
119,2,Hotel K,Salvador (BH),2,263.41,526.82,2020-03-12,2020,3,12,Thursday,263.41
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-04-02,2020,4,2,Thursday,313.02
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2020-04-16,2020,4,16,Thursday,208.04
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-04-23,2020,4,23,Thursday,60.39
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,2020,7,2,Thursday,165.99
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,2020-07-16,2020,7,16,Thursday,313.02
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-10-15,2020,10,15,Thursday,208.04
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-11-05,2020,11,5,Thursday,60.39
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-11-26,2020,11,26,Thursday,247.62
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-12-24,2020,12,24,Thursday,60.39
165,2,Hotel BD,Natal (RN),3,242.88,728.64,2021-01-28,2021,1,28,Thursday,242.88
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,2021-04-22,2021,4,22,Thursday,208.04
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-05-13,2021,5,13,Thursday,60.39
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-07-01,2021,7,1,Thursday,208.04
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-07-08,2021,7,8,Thursday,139.1
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,2021-07-15,2021,7,15,Thursday,263.41
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-08-05,2021,8,5,Thursday,313.02
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-09-09,2021,9,9,Thursday,313.02
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-10-07,2021,10,7,Thursday,313.02
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2021-11-04,2021,11,4,Thursday,165.99
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-12-16,2021,12,16,Thursday,208.04
213,2,Hotel K,Salvador (BH),3,263.41,790.23,2021-12-30,2021,12,30,Thursday,263.41
214,2,Hotel AU,Recife (PE),1,312.83,312.83,2022-01-06,2022,1,6,Thursday,312.83
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-02-10,2022,2,10,Thursday,313.02
221,2,Hotel K,Salvador (BH),1,263.41,263.41,2022-02-24,2022,2,24,Thursday,263.41
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,2022-03-17,2022,3,17,Thursday,247.62
225,2,Hotel BD,Natal (RN),4,242.88,971.52,2022-03-24,2022,3,24,Thursday,242.88
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,2019,11,14,Thursday,313.02
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-11-28,2019,11,28,Thursday,313.02
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-19,2019,12,19,Thursday,313.02
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-26,2019,12,26,Thursday,313.02
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-01-02,2020,1,2,Thursday,247.62
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-01-09,2020,1,9,Thursday,313.02
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-01-23,2020,1,23,Thursday,165.99
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,2020-01-30,2020,1,30,Thursday,312.83
246,3,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-13,2020,2,13,Thursday,312.83
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-02-27,2020,2,27,Thursday,60.39
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-16,2020,4,16,Thursday,313.02
259,3,Hotel BD,Natal (RN),2,242.88,485.76,2020-05-14,2020,5,14,Thursday,242.88
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-06-11,2020,6,11,Thursday,60.39
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-07-23,2020,7,23,Thursday,165.99
275,3,Hotel BD,Natal (RN),2,242.88,485.76,2020-09-03,2020,9,3,Thursday,242.88
279,3,Hotel BD,Natal (RN),1,242.88,242.88,2020-10-01,2020,10,1,Thursday,242.88
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-10-29,2020,10,29,Thursday,139.1
287,3,Hotel AU,Recife (PE),1,312.83,312.83,2020-11-26,2020,11,26,Thursday,312.83
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-12-17,2020,12,17,Thursday,60.39
291,3,Hotel K,Salvador (BH),1,263.41,263.41,2020-12-24,2020,12,24,Thursday,263.41
295,3,Hotel BD,Natal (RN),4,242.88,971.52,2021-01-21,2021,1,21,Thursday,242.88
296,3,Hotel AU,Recife (PE),3,312.83,938.49,2021-01-28,2021,1,28,Thursday,312.83
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-02-18,2021,2,18,Thursday,139.1
300,3,Hotel K,Salvador (BH),3,263.41,790.23,2021-02-25,2021,2,25,Thursday,263.41
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,2021-03-18,2021,3,18,Thursday,60.39
305,3,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-01,2021,4,1,Thursday,242.88
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-04-08,2021,4,8,Thursday,313.02
307,3,Hotel BD,Natal (RN),2,242.88,485.76,2021-04-15,2021,4,15,Thursday,242.88
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-05-13,2021,5,13,Thursday,139.1
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-06-10,2021,6,10,Thursday,165.99
322,3,Hotel BD,Natal (RN),1,242.88,242.88,2021-07-29,2021,7,29,Thursday,242.88
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-08-19,2021,8,19,Thursday,165.99
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-11-11,2021,11,11,Thursday,165.99
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-11-18,2021,11,18,Thursday,208.04
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62,2022-01-20,2022,1,20,Thursday,247.62
350,3,Hotel BD,Natal (RN),1,242.88,242.88,2022-02-10,2022,2,10,Thursday,242.88
